Species,Bird ID,Treatment group (ug brodifacoum/g feed),Tissue,Description,Morphologic Diagnoses ,Hemorrhage score
American kestrel,84,3,Liver,"Portal triads are surrounded by low to moderate numbers of lymphocytes, plasma cells, histiocytes and granulocytes, as well as occasional hematopoietic cells.  There are random intrasinusoidal accumulations of hematopoietic cells. ","Extramedullary hepatopoiesis, moderate",0
American kestrel,84,3,Kidney,"The cortical surface is mildly undulating. There is focal mild capsular lymphocyte, plasma cell and histiocyte accumulation; histiocytes contain a small amount of golden brown pigment. There are frequent medullary interstitial accumulations of hematopoietic precursor cells. Multifocally within the medullary cone are areas of suspect tubular hyperplasia, dilation, disruption and loss with fibrosis.","Extramedullary hepatopoiesis, moderate",0
American kestrel,84,3,Heart,"On the visceral aspect of the pericardium are multifocal areas of mesothelial hyperplasia with associated accumulation of low numbers of lymphocytes, plasma cells and histiocytes with fewer granulocytes. Histiocytes occasionally contain eosinophilic globular material or golden brown pigment (possible hemosiderin).","Pericarditis, lymphohistiocytic, multifocal, chronic, mild, with mesothelial hyperplasia ",0
American kestrel,84,3,Skeletal muscle,"There is regionally extensive acute mild to marked hemorrhage within the interstitium, fascia, and adjacent adipose tissue. Adipose tissue on the surface of the section and within the interstitium multifocally contains few small accumulations of lymphocytes, plasma cells, and macrophages.","Hemorrhage, interstitial and fascial, regionally extensive, acute, marked",4
American kestrel,84,3,Intestine,No significant findings ,No significant findings ,0
American kestrel,85,0.3,Liver,There are multifocal portal to random accumulations of presumptive hematopoietic cells. There is multifocal random parenchymal disruption with mild hemorrhage (suspect postmortem artifact).  ,"Extramedullary hepatopoiesis, mild",0
American kestrel,85,0.3,Kidney,There are few interstitial accumulations of hematopoietic precursor cells. Medullary tubules occasionally contain occasional sloughed cellular debris. There is focal arterial atherosclerosis.,"Atherosclerosis, mild; Extramedullary hepatopoiesis, mild",0
American kestrel,85,0.3,Heart,There is minimal multifocal interstitial hemorrhage. There is mild multifocal interstitial hemorrhage at the periphery of the section as well as minimal focal epicardial hemorrhage (suspect artifact). There is multifocal aortic foamy macrophage accumulation and mineralization at the base of the aortic valve (atherosclerosis).,"Hemorrhage, interstitial, minimal; Atherosclerosis, mild",1
American kestrel,85,0.3,Skeletal muscle,No significant findings ,No significant findings ,0
American kestrel,85,0.3,Intestine,No significant findings ,No significant findings ,0
American kestrel,87,0,Liver,There are multifocal portal to random accumulations of presumptive hematopoietic cells. There is mild portal fibrosis.  ,"Extramedullary hepatopoiesis, mild",0
American kestrel,87,0,Kidney,The capsular surface is mildly undulating. There is multifocal medullary fibroplasia. Medullary tubular epithelium is multifocally disrupted (degenerate) or hyperplastic and hypertrophic with karyomegaly and suspect binucleation. There is a focal area of suspect perivascular cortical interstitial hemorrhage.  ,"Medullary tubular degeneration and regeneration, suspect, multifocal, chronic, moderate; Perivascular hemorrhage, focal, minimal",1
