Data as of,Group,State,Indicator,Start week,End week,All COVID-19 Deaths (U07.1),Deaths from All Causes,Percent of Expected Deaths,All Pneumonia Deaths (J12.0-J18.9),Deaths with Pneumonia and COVID-19 (J12.0-J18.9 and U07.1),All Influenza Deaths (J09-J11),"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
04/24/2020,By week,United States,Total Deaths,02/01/2020,04/18/2020,"24,555","654,798",0.96,"54,962","11,070","5,571","73,358",
04/24/2020,By week,United States,Week-ending,02/01/2020,02/01/2020,0,"57,146",0.96,"3,680",0,465,"4,145",
04/24/2020,By week,United States,Week-ending,02/08/2020,02/08/2020,0,"57,284",0.96,"3,646",0,491,"4,137",
04/24/2020,By week,United States,Week-ending,02/15/2020,02/15/2020,0,"56,499",0.96,"3,668",0,511,"4,179",
04/24/2020,By week,United States,Week-ending,02/22/2020,02/22/2020,0,"56,259",0.97,"3,528",0,529,"4,057",
04/24/2020,By week,United States,Week-ending,02/29/2020,02/29/2020,5,"55,972",0.97,"3,563",3,604,"4,169",
04/24/2020,By week,United States,Week-ending,03/07/2020,03/07/2020,21,"55,516",0.96,"3,677",12,579,"4,264",
04/24/2020,By week,United States,Week-ending,03/14/2020,03/14/2020,49,"53,529",0.94,"3,642",25,569,"4,234",
04/24/2020,By week,United States,Week-ending,03/21/2020,03/21/2020,478,"53,437",0.94,"4,096",221,489,"4,835",
04/24/2020,By week,United States,Week-ending,03/28/2020,03/28/2020,"2,569","56,273",1,"5,482","1,187",391,"7,211",
04/24/2020,By week,United States,Week-ending,04/04/2020,04/04/2020,"7,383","61,261",1.09,"8,221","3,591",412,"12,224",
04/24/2020,By week,United States,Week-ending,04/11/2020,04/11/2020,"9,958","58,378",1.03,"8,160","4,373",394,"13,838",
04/24/2020,By week,United States,Week-ending,04/18/2020,04/18/2020,"4,092","33,244",0.62,"3,599","1,658",137,"6,065",
04/24/2020,By age,United States,All ages,02/01/2020,04/18/2020,"24,555","654,798",0.96,"54,962","11,070","5,571",,
