Underlying condition,Overall,18–49,50–64,≥65
Any underlying condition,159/178 (89.3),41/48 (85.4),51/59 (86.4),67/71 (94.4)
Hypertension,79/159 (49.7),7/40 (17.5),27/57 (47.4),45/62 (72.6)
Obesity,73/151 (48.3),23/39 (59.0),25/51 (49.0),25/61 (41.0)
Chronic metabolic disease¶,60/166 (36.1),10/46 (21.7),21/56 (37.5),29/64 (45.3)
   Diabetes mellitus,47/166 (28.3),9/46 (19.6),18/56 (32.1),20/64 (31.3)
Chronic lung disease,55/159 (34.6),16/44 (36.4),15/53 (28.3),24/62 (38.7)
   Asthma,27/159 (17.0),12/44 (27.3),7/53 (13.2),8/62 (12.9)
   Chronic obstructive pulmonary disease,17/159 (10.7),0/44 (0.0),3/53 (5.7),14/62 (22.6)
Cardiovascular disease,45/162 (27.8),2/43 (4.7),11/56 (19.6),32/63 (50.8)
   Coronary artery disease,23/162 (14.2),0/43 (0.0),7/56 (12.5),16/63 (25.4)
   Congestive heart failure,11/162 (6.8),2/43 (4.7),3/56 (5.4),6/63 (9.5)
Neurologic disease,22/157 (14.0),4/42 (9.5),4/55 (7.3),14/60 (23.3)
Renal disease,20/153 (13.1),3/41 (7.3),2/53 (3.8),15/59 (25.4)
Immunosuppressive condition,15/156 (9.6),5/43 (11.6),4/54 (7.4),6/59 (10.2)
Gastrointestinal/Liver disease,10/152 (6.6),4/42 (9.5),0/54 (0.0),6/56 (10.7)
Blood disorder,9/156 (5.8),1/43 (2.3),1/55 (1.8),7/58 (12.1)
Rheumatologic/Autoimmune disease,3/154 (1.9),1/42 (2.4),0/54 (0.0),2/58 (3.4)
Pregnancy,3/33 (9.1),3/33 (9.1),N/A,N/A
